Round,TeamA,TeamB,GoalsA,GoalsB,Year
11,HapKS,MacNa,0,3,2008
11,HapTA,MacTA,2,0,2008
12,BneTA,MacTA,3,2,2008
12,HapPT,HapKS,3,0,2008
12,HapTA,HacRG,3,0,2008
12,MemAs,MacHa,1,3,2008
12,MacNa,MacPT,0,0,2008
12,BeiYe,BneSa,0,0,2008
13,BneSa,MacPT,2,1,2008
13,HacRG,BneTA,0,1,2008
13,HapPT,MacNa,0,0,2008
13,MacTA,BeiYe,0,0,2008
13,HapKS,MemAs,1,1,2008
13,MacHa,HapTA,2,2,2008
14,MacNa,BneSa,1,1,2008
14,BeiYe,HacRG,3,0,2008
14,HapTA,HapKS,1,1,2008
14,MemAs,HapPT,4,1,2008
14,MacPT,MacTA,0,0,2008
14,BneTA,MacHa,0,1,2008
15,HacRG,MacPT,2,2,2008
15,HapPT,HapTA,0,2,2008
15,MemAs,MacNa,3,3,2008
15,MacTA,BneSa,1,1,2008
15,HapKS,BneTA,0,2,2008
15,MacHa,BeiYe,0,0,2008
16,BeiYe,HapKS,2,2,2008
16,BneTA,HapPT,1,0,2008
16,BneSa,HacRG,0,1,2008
16,HapTA,MemAs,2,0,2008
16,MacPT,MacHa,2,0,2008
16,MacNa,MacTA,1,0,2008
17,HacRG,MacTA,0,1,2008
17,HapPT,BeiYe,0,2,2008
17,MemAs,BneTA,0,2,2008
17,MacHa,BneSa,2,1,2008
17,HapKS,MacPT,0,0,2008
17,HapTA,MacNa,2,1,2008
18,BeiYe,MemAs,3,2,2008
18,BneTA,HapTA,3,0,2008
18,BneSa,HapKS,1,0,2008
18,MacNa,HacRG,2,2,2008
18,MacPT,HapPT,2,1,2008
18,MacTA,MacHa,1,1,2008
19,BneTA,MacNa,1,1,2008
19,HapPT,BneSa,1,1,2008
19,MemAs,MacPT,1,1,2008
19,MacHa,HacRG,2,0,2008
19,HapKS,MacTA,1,2,2008
19,HapTA,BeiYe,4,0,2008
20,BeiYe,BneTA,1,0,2008
20,BneSa,MemAs,0,2,2008
20,HacRG,HapKS,1,0,2008
20,MacPT,HapTA,1,1,2008
20,MacTA,HapPT,1,2,2008
20,MacNa,MacHa,2,0,2008
21,BneTA,MacPT,1,0,2008
21,HapPT,HacRG,1,0,2008
21,HapTA,BneSa,1,0,2008
21,MemAs,MacTA,1,0,2008
21,HapKS,MacHa,1,0,2008
21,BeiYe,MacNa,2,1,2008
22,BneSa,BneTA,0,2,2008
22,HacRG,MemAs,1,1,2008
22,MacHa,HapPT,1,0,2008
22,MacNa,HapKS,2,1,2008
22,MacPT,BeiYe,0,1,2008
22,MacTA,HapTA,1,3,2008
23,HapPT,MacTA,1,2,2008
23,MemAs,HapKS,2,0,2008
23,MacNa,HacRG,0,0,2008
23,MacPT,BneSa,0,0,2008
23,BneTA,MacHa,0,1,2008
23,BeiYe,HapTA,2,1,2008
24,BneSa,MemAs,3,2,2008
24,HacRG,MacTA,1,1,2008
24,HapTA,BneTA,2,1,2008
24,MacHa,MacPT,0,0,2008
24,HapKS,HapPT,1,1,2008
24,MacNa,BeiYe,1,0,2008
25,BeiYe,HacRG,4,0,2008
25,BneTA,MacNa,2,0,2008
25,HapPT,BneSa,2,2,2008
25,MacPT,HapTA,1,2,2008
25,MacTA,HapKS,3,2,2008
25,MemAs,MacHa,0,3,2008
26,BneSa,MacTA,0,3,2008
26,HacRG,HapKS,1,0,2008
26,HapTA,MemAs,1,0,2008
26,MacHa,HapPT,2,1,2008
26,MacNa,MacPT,1,2,2008
26,BeiYe,BneTA,2,2,2008
27,BneTA,HacRG,1,0,2008
27,HapPT,HapTA,0,1,2008
27,MemAs,MacNa,0,0,2008
27,MacPT,BeiYe,0,2,2008
27,HapKS,BneSa,0,2,2008
27,MacTA,MacHa,1,1,2008
28,BeiYe,MemAs,2,1,2008
28,BneTA,MacPT,1,1,2008
28,HacRG,BneSa,1,1,2008
28,MacHa,HapKS,2,1,2008
28,MacNa,HapPT,1,0,2008
28,HapTA,MacTA,1,1,2008
29,HapPT,BeiYe,0,0,2008
29,MemAs,BneTA,0,3,2008
29,MacPT,HacRG,0,2,2008
29,MacTA,MacNa,0,1,2008
29,HapKS,HapTA,1,3,2008
29,BneSa,MacHa,0,0,2008
30,BeiYe,MacTA,2,0,2008
30,BneTA,HapPT,2,1,2008
30,MacHa,HacRG,2,0,2008
30,MacNa,HapKS,1,3,2008
30,MacPT,MemAs,0,0,2008
30,HapTA,BneSa,1,1,2008
31,BneSa,MacNa,0,0,2008
31,HacRG,MemAs,0,0,2008
31,HapPT,MacPT,2,0,2008
31,MacTA,BneTA,2,1,2008
31,HapKS,BeiYe,2,0,2008
31,MacHa,HapTA,1,0,2008
32,BeiYe,BneSa,3,0,2008
32,BneTA,HapKS,0,0,2008
32,MemAs,HapPT,1,0,2008
32,MacNa,MacHa,0,2,2008
32,MacPT,MacTA,0,3,2008
32,HapTA,HacRG,3,2,2008
33,BneSa,BneTA,3,1,2008
33,HacRG,HapPT,1,0,2008
33,HapTA,MacNa,1,2,2008
33,MacTA,MemAs,1,0,2008
33,HapKS,MacPT,1,2,2008
33,MacHa,BeiYe,1,1,2008
