Round,TeamA,TeamB,GoalsA,GoalsB,Year
13,MacHa,HapAc,3,1,2010
14,HapAs,BneSa,1,0,2010
14,HapRG,HapPT,1,1,2010
14,HapHa,MemAs,2,0,2010
14,HapAc,BeiYe,3,0,2010
14,MacNa,HapBS,1,0,2010
14,MacTA,MacPT,1,1,2010
14,HapKS,MacHa,0,1,2010
14,BneTA,HapTA,0,1,2010
15,BeiYe,HapKS,1,0,2010
15,BneSa,HapAc,0,1,2010
15,HapTA,HapRG,4,0,2010
15,MemAs,HapAs,3,2,2010
15,MacHa,MacNa,3,0,2010
15,MacPT,BneTA,3,0,2010
15,HapPT,HapHa,3,0,2010
15,HapBS,MacTA,0,1,2010
16,BeiYe,MacNa,0,0,2010
16,BneSa,HapKS,1,0,2010
16,HapRG,BneTA,1,1,2010
16,HapBS,MacPT,2,1,2010
16,HapTA,HapHa,5,0,2010
16,MemAs,HapAc,3,1,2010
16,HapPT,HapAs,0,2,2010
16,MacHa,MacTA,3,0,2010
17,BneTA,HapBS,0,0,2010
17,HapAs,HapTA,0,2,2010
17,HapHa,HapRG,2,0,2010
17,HapAc,HapPT,3,0,2010
17,MacNa,BneSa,1,0,2010
17,HapKS,MemAs,3,0,2010
17,MacPT,MacHa,1,3,2010
17,MacTA,BeiYe,1,0,2010
18,BeiYe,MacPT,0,2,2010
18,BneTA,HapHa,3,2,2010
18,BneSa,MacTA,1,3,2010
18,HapRG,HapAs,0,4,2010
18,HapPT,HapKS,1,3,2010
18,MacHa,HapBS,2,2,2010
18,MemAs,MacNa,1,0,2010
18,HapTA,HapAc,4,1,2010
19,HapAs,HapHa,0,0,2010
19,HapBS,BeiYe,1,2,2010
19,HapAc,HapRG,0,0,2010
19,MacHa,BneTA,1,0,2010
19,MacNa,HapPT,3,3,2010
19,MacTA,MemAs,4,1,2010
19,MacPT,BneSa,1,2,2010
19,HapKS,HapTA,1,1,2010
20,BneTA,HapAs,2,0,2010
20,BneSa,HapBS,1,1,2010
20,HapRG,HapKS,0,3,2010
20,HapHa,HapAc,1,1,2010
20,HapPT,MacTA,0,1,2010
20,HapTA,MacNa,2,1,2010
20,MemAs,MacPT,1,3,2010
20,BeiYe,MacHa,0,0,2010
21,BeiYe,BneTA,1,1,2010
21,HapBS,MemAs,5,0,2010
21,HapAc,HapAs,1,0,2010
21,MacHa,BneSa,1,0,2010
21,MacNa,HapRG,2,0,2010
21,MacPT,HapPT,2,3,2010
21,HapKS,HapHa,1,3,2010
21,MacTA,HapTA,1,1,2010
22,BneTA,HapAc,1,0,2010
22,BneSa,BeiYe,1,0,2010
22,HapRG,MacTA,0,3,2010
22,HapHa,MacNa,1,2,2010
22,HapPT,HapBS,3,1,2010
22,MemAs,MacHa,1,2,2010
22,HapAs,HapKS,0,1,2010
22,HapTA,MacPT,2,0,2010
23,BeiYe,MemAs,0,0,2010
23,BneSa,BneTA,0,1,2010
23,HapBS,HapTA,0,3,2010
23,MacNa,HapAs,3,0,2010
23,MacPT,HapRG,4,1,2010
23,MacTA,HapHa,0,1,2010
23,HapKS,HapAc,2,2,2010
23,MacHa,HapPT,2,0,2010
24,BneTA,HapKS,3,1,2010
24,HapAs,MacTA,2,4,2010
24,HapRG,HapBS,0,0,2010
24,HapHa,MacPT,1,1,2010
24,HapAc,MacNa,0,0,2010
24,HapPT,BeiYe,1,0,2010
24,MemAs,BneSa,0,0,2010
24,HapTA,MacHa,4,1,2010
25,BneSa,HapPT,1,1,2010
25,HapBS,HapHa,0,2,2010
25,MemAs,BneTA,1,2,2010
25,MacNa,HapKS,1,1,2010
25,MacPT,HapAs,4,0,2010
25,MacTA,HapAc,2,2,2010
25,MacHa,HapRG,3,2,2010
25,BeiYe,HapTA,1,0,2010
26,HapAs,HapBS,3,4,2010
26,HapRG,BeiYe,0,0,2010
26,HapAc,MacPT,1,1,2010
26,HapPT,MemAs,3,1,2010
26,HapTA,BneSa,1,0,2010
26,HapKS,MacTA,4,0,2010
26,BneTA,MacNa,1,1,2010
26,HapHa,MacHa,0,2,2010
27,BeiYe,HapHa,1,0,2010
27,HapBS,HapAc,0,2,2010
27,MacHa,HapAs,3,0,2010
27,MacPT,HapKS,0,0,2010
27,MacTA,MacNa,0,3,2010
27,HapPT,BneTA,2,1,2010
27,MemAs,HapTA,3,3,2010
27,BneSa,HapRG,0,0,2010
28,BneTA,MacTA,2,0,2010
28,HapAs,BeiYe,2,1,2010
28,HapRG,MemAs,1,2,2010
28,HapAc,MacHa,0,2,2010
28,MacNa,MacPT,2,2,2010
28,HapKS,HapBS,1,0,2010
28,HapHa,BneSa,4,1,2010
28,HapTA,HapPT,2,0,2010
29,BeiYe,HapAc,2,0,2010
29,BneSa,HapAs,2,0,2010
29,HapBS,MacNa,1,2,2010
29,HapTA,BneTA,0,1,2010
29,MemAs,HapHa,0,0,2010
29,MacPT,MacTA,2,2,2010
29,HapPT,HapRG,2,0,2010
29,MacHa,HapKS,3,2,2010
30,HapAs,MemAs,4,1,2010
30,HapRG,HapTA,1,2,2010
30,HapHa,HapPT,3,2,2010
30,HapAc,BneSa,0,0,2010
30,MacTA,HapBS,0,2,2010
30,HapKS,BeiYe,0,1,2010
30,BneTA,MacPT,2,0,2010
30,MacNa,MacHa,1,1,2010
31,BeiYe,HapRG,5,1,2010
31,HapHa,HapBS,1,2,2010
31,HapPT,BneSa,1,1,2010
31,MemAs,HapAs,4,1,2010
31,MacHa,MacNa,1,2,2010
31,MacPT,HapAc,4,1,2010
31,MacTA,HapKS,3,1,2010
31,HapTA,BneTA,2,1,2010
32,BeiYe,HapPT,3,0,2010
32,BneTA,MacTA,1,3,2010
32,BneSa,MemAs,1,0,2010
32,HapRG,HapAs,2,0,2010
32,HapBS,HapAc,2,3,2010
32,HapHa,MacPT,0,2,2010
32,MacHa,HapTA,2,0,2010
32,MacNa,HapKS,3,3,2010
33,HapAs,BneSa,2,1,2010
33,HapAc,HapHa,2,1,2010
33,HapPT,HapRG,1,2,2010
33,HapTA,MacNa,2,2,2010
33,MemAs,BeiYe,0,0,2010
33,MacPT,HapBS,1,1,2010
33,MacTA,MacHa,0,2,2010
33,HapKS,BneTA,1,2,2010
34,BeiYe,HapAs,0,1,2010
34,HapRG,BneSa,1,2,2010
34,HapPT,MemAs,1,1,2010
34,HapTA,MacTA,2,2,2010
34,MacNa,BneTA,0,4,2010
34,MacHa,HapKS,2,0,2010
35,BneTA,MacHa,1,1,2010
35,BneSa,BeiYe,1,0,2010
35,HapAs,HapPT,0,3,2010
35,MemAs,HapRG,1,0,2010
35,MacTA,MacNa,4,1,2010
35,HapKS,HapTA,2,1,2010
